CompletionTime_us,FlowSize_B,FCT_us
156103,135605,6700
156364,692459,13885
156624,804361,22775
156800,534345,17513
156815,2096638,46756
157158,877156,21909
157290,1019235,32072
157634,805246,14624
159594,1402912,59594
159733,529957,16233
159867,816333,25504
159947,1414798,41876
161760,1346392,22019
162475,1019655,18248
162612,527017,13863
164221,4935373,64221
164228,870134,30576
164451,1861912,64451
164567,747808,21148
165157,2432983,52985
165500,657921,19910
165727,770344,17654
167213,679557,25469
167544,1010412,26991
167966,1799539,29746
167999,2512428,67999
168146,1750880,31177
168629,2488498,56618
168632,1417614,48266
168703,1605081,49198
168769,1597058,50281
169240,1056596,22205
169635,1526240,34221
169667,1537468,25757
169832,1151927,25257
170208,836393,36794
170287,837102,21162
170391,622947,28943
170542,1068295,28442
170895,1696306,50845
171209,2537230,68056
171419,1251213,26494
172135,2807262,66110
172196,2117320,61712
172751,2307192,71199
173057,3768431,73057
173525,788222,24453
173750,959132,23886
174065,3125379,61346
174067,1362745,35653
174363,773956,27761
174437,4202508,71383
174809,1022024,36977
175090,3204880,75090
175775,1525178,30197
176273,1138106,37071
176592,3042265,64245
177510,1025304,39332
178828,4684413,78828
179466,2066236,43588
179563,1464973,47935
179949,1628667,41766
180103,1051778,37949
180233,2456412,33572
180431,1889305,62630
180695,1922218,52224
181354,1676107,45639
182244,1678978,37619
182527,1854832,69265
182820,2950212,82820
182857,3851974,64953
182929,3514994,71508
182989,2455368,46306
183481,3071996,67156
184728,1928014,41630
185035,3867338,73990
185038,1979931,43648
187232,1956202,76065
187606,2759495,73054
188203,1781400,81701
188924,4204407,78700
188951,3101368,41880
189743,1196837,41447
189786,3101792,51324
190269,7706384,90269
190366,4424336,69430
192176,1110877,45443
192765,2559616,73480
192794,4964942,91057
192955,2608161,65175
193273,5854626,85280
194043,2267239,53719
194047,1552114,49577
194130,1589354,46052
194309,2985826,90265
196069,1582479,54451
196136,1865211,64485
196340,2932159,76416
196453,3852457,65718
196893,2290367,62796
197018,1969398,52064
197106,1976406,56518
198163,3767185,56261
198820,3373454,62609
199461,3137049,58653
200091,4889049,77097
201065,1880328,54036
201342,2386460,82829
201395,5527188,97862
201404,1746257,60012
203397,2634426,72694
203691,5431235,65655
203857,9270297,81055
204259,2828257,55227
204590,1706137,70859
204944,2611156,61372
205460,4967212,68343
205576,3994786,73516
205976,3336112,99454
206523,7302855,106523
206718,2587304,94689
207063,4426297,107063
207218,4405367,103397
207472,7547485,96460
207487,3053950,64216
207908,1943940,61499
208236,3730107,93482
208478,8318708,108478
208687,4251902,76406
208729,4877769,106498
209037,5734167,63750
209045,4069234,100693
209277,5907177,92713
209477,4410637,109477
209694,5629054,107955
210076,4039428,68902
210215,6614211,72902
210312,6307656,109476
210393,7975317,81714
210603,3705775,104604
210631,4555246,109872
211640,4432487,108574
212917,4093948,75767
213321,10487334,103159
214642,5373955,84171
214908,4409066,114908
217826,8310399,92814
218883,6710728,118883
218903,3013080,86569
219119,9817082,73088
219777,4671927,119777
220399,3611875,92173
222413,4888356,122413
223940,9004613,97207
225029,3745340,100771
225984,4321563,110243
226212,3510250,76652
226678,2890668,77485
227215,4995840,93794
227549,6342787,119606
228261,4797948,107788
229896,4910678,100391
230627,2582890,82975
231031,7945770,131031
231227,6284239,83341
231423,6148042,102397
232751,3283304,104178
233313,5825035,96749
233489,5418091,114014
233911,5516258,133704
233934,8333290,130948
234758,8369159,130192
235302,8277791,119418
235688,8298860,97831
236255,4841214,105974
236485,4889599,116317
237618,12026669,98821
238046,4673909,124583
238160,5038804,126429
238449,8459900,138449
238637,20835089,100504
239034,4605463,98055
240029,7676430,109606
240115,3636211,92179
241970,7143971,141970
243840,7179763,128424
244687,7355542,129529
246453,9823678,112110
248087,8859777,111489
248895,4465701,112543
248919,8903326,100775
249153,7063401,101807
249588,7437459,134615
250962,8128582,150962
252180,14210469,118383
253152,6371843,132526
254867,7895410,126988
254902,27142424,143403
254917,8219807,135283
254944,4858666,111944
256298,7358147,156298
256640,20576963,124018
257780,7459724,129820
258780,7830866,140537
259226,6895660,119908
263815,9404792,136657
264248,24219011,152898
266888,28975922,144970
267310,9897348,144121
267445,6659869,122066
269339,8896197,128558
269972,8437518,151607
273356,8837324,153433
274809,14957281,168458
276218,8168865,149043
276523,14842781,129577
277889,9933187,154121
279190,14309526,145313
280787,20351639,180787
283163,9671629,139602
283607,9708202,166400
284633,8587401,158499
285053,13621029,183299
288479,24853184,188479
292918,9550564,146259
298757,28541335,194084
299754,12706621,170091
301360,16863030,190484
304483,24524211,165869
307306,27183205,207306
313320,19667757,185250
315113,29412042,173633
322414,14322356,200708
331081,15198199,184343
342668,23134120,218826
357653,22170968,234513
367100,29426845,234934
367516,29783305,232290
370420,29704438,244189
