CompletionTime_us,FlowSize_B,FCT_us
158684,635629,10952
158947,622947,17499
159478,695363,27496
159858,950204,36725
162155,1414798,44085
162634,692459,20155
163220,2807262,57195
163472,966983,42643
164076,816333,29714
164106,877156,28857
164137,1022024,26304
164138,529957,20638
164571,2488498,52560
164716,1090889,31491
164830,1068295,22730
164931,534345,25643
164997,1956202,53830
165190,770344,17116
165455,836393,32041
165782,870134,32130
165900,2512428,65900
166311,1696306,46261
166589,1799539,28368
167618,2066236,31740
167978,788222,18905
168018,1019655,23792
168230,1138106,29029
168230,3867338,57186
168280,2096638,58221
168790,1605081,49285
169278,1552114,24809
169846,5629054,68107
169950,1346392,30209
170109,1854832,56846
170672,837102,21546
171148,1151927,26573
171258,1889305,53456
171430,679557,29687
171578,3042265,59231
171787,657921,26197
171793,1781400,65291
171823,2432983,59651
172079,1056596,25045
172132,1251213,27207
172364,1025304,34186
173013,747808,29593
173678,4935373,73678
173969,1010412,33417
174411,527017,25662
174480,2950212,74480
174798,3125379,62079
176213,773956,29611
176365,1464973,44736
176776,1110877,30043
176958,1537468,33048
176998,1628667,38815
177366,3514994,65946
178426,1362745,40013
178556,2985826,74513
179016,3851974,61112
179123,1750880,42154
179373,959132,29509
181456,1928014,38358
181856,1877587,70279
182310,1706137,48580
182383,3101368,35311
182429,1526240,47015
182467,1922218,53997
182661,1525178,37083
183749,1979931,42360
185496,7706384,85496
185681,2587304,73652
185967,1582479,44349
186653,2267239,46330
187025,2634426,56321
187429,9270297,64627
187877,4202508,84823
188028,2455368,51345
188185,1865211,56533
188475,3071996,72150
188798,5854626,80804
189029,3204880,89029
190122,1676107,54406
190152,1196837,41855
191092,1678978,46468
193013,2456412,46352
193111,3768431,93111
193160,4964942,91423
193744,2608161,65964
194247,1051778,52093
194438,4426297,94438
194481,5431235,56445
195035,2386460,76522
195458,1589354,47380
195693,2611156,52120
195807,4424336,74871
196049,1597058,77561
196287,4684413,96287
196430,1880328,49402
197059,4204407,86835
197339,3373454,61128
197398,7302855,97398
197972,2290367,63875
199462,4069234,91110
199536,2559616,80251
199579,1976406,58991
199607,2537230,96454
200249,8318708,100249
201023,4889049,78029
201410,2759495,86858
202000,4967212,64883
202151,5907177,85588
202888,1943940,56479
203200,2932159,83277
203825,3101792,65364
204355,4405367,100533
205210,3137049,64402
206722,3730107,91968
206927,4251902,74645
207384,4410637,107384
207422,3013080,75089
208564,2828257,59532
208583,3994786,76524
209228,3767185,67326
209748,3053950,66477
209809,6614211,72496
209809,4039428,68635
210019,4877769,107789
211052,5734167,65765
211717,4432487,108651
211725,5516258,111519
212213,3852457,81479
212707,1746257,71315
212886,5373955,82415
213090,4409066,113090
213426,6307656,112590
213660,1969398,68706
214213,5825035,77649
214291,7547485,103279
214315,7975317,85635
215356,2582890,67705
215843,4555246,115085
216099,10487334,105936
216380,8310399,91367
216631,3611875,88404
216657,7945770,116657
218722,5527188,115188
219041,3705775,113042
219910,3283304,91337
221275,8333290,118288
222693,3336112,116172
222854,4797948,102382
222918,6710728,122918
224249,9817082,78219
225733,4995840,92312
226382,5038804,114652
226483,6342787,118540
227171,4910678,97666
227366,6284239,79480
227816,3745340,103558
228258,2890668,79065
229224,4841214,98943
229522,9823678,95179
230097,8298860,92241
231216,4093948,94065
231661,8369159,127095
231756,4671927,131756
232178,6148042,103153
233055,9004613,106322
233683,3510250,84123
233822,4673909,120359
234431,4888356,134431
235722,12026669,96926
236192,4321563,120450
237940,20835089,99808
238586,4465701,102234
238773,3636211,90837
239844,5418091,120369
240453,7676430,110029
241067,7179763,125651
241677,8459900,141677
242633,4889599,122465
245212,8277791,129328
245292,7358147,145292
246682,7143971,146682
247871,27142424,136372
249689,6895660,110371
250446,7355542,135287
250476,8859777,113878
251709,14210469,117912
252317,8437518,133951
252596,6371843,131970
253401,7459724,125442
255473,7063401,108127
255978,8219807,136344
256422,20576963,123800
256597,7830866,138355
257508,4605463,116529
257748,8128582,157748
257862,7895410,129982
258671,4858666,115672
258915,7437459,143941
259430,8903326,111286
262408,8896197,121626
263316,9897348,140126
265190,24219011,153840
265762,6659869,120384
265936,28975922,144018
267293,9404792,140135
269116,8837324,149193
273726,9933187,149959
274974,14957281,168622
275186,20351639,175186
276818,9708202,159611
277267,14842781,130321
278860,14309526,144983
280713,8168865,153538
284266,9671629,140705
285285,8587401,159151
287228,24853184,187228
287499,13621029,185745
297467,9550564,150808
298923,12706621,169259
299061,16863030,188185
299577,28541335,194904
305178,24524211,166564
306105,27183205,206105
309561,14322356,187855
311375,29412042,169895
314446,19667757,186376
336079,15198199,189342
341191,23134120,217349
359794,22170968,236654
361224,29426845,229058
364832,29783305,229605
368566,29704438,242335
