CompletionTime_us,FlowType,SizeBytes,FCT_us
149572,Mouse,5798,66
149643,Mouse,5060,65
149655,Mouse,4718,67
149661,Mouse,3591,68
149662,Mouse,4096,69
149667,Mouse,5425,66
149687,Mouse,5194,66
149750,Mouse,3357,64
149957,Mouse,5024,65
150003,Mouse,3639,65
150005,Mouse,4268,67
150055,Mouse,5523,66
150060,Mouse,3500,64
150066,Mouse,3811,66
150068,Mouse,4717,68
150102,Mouse,4801,65
150172,Mouse,3312,64
150177,Mouse,5444,66
150217,Mouse,5005,66
150280,Mouse,5746,66
150392,Mouse,5164,69
150421,Mouse,5272,69
150427,Mouse,5381,67
150442,Mouse,3609,68
150530,Elephant,64501,337
150630,Mouse,3191,67
150646,Mouse,5485,68
150719,Mouse,3374,67
150724,Mouse,3065,69
150734,Mouse,3645,76
150736,Mouse,4871,78
150754,Mouse,5604,80
150755,Mouse,3631,78
150775,Mouse,3506,76
150812,Mouse,5282,80
150817,Mouse,3221,81
150832,Mouse,4053,74
150847,Mouse,4707,68
150905,Mouse,5328,68
150958,Mouse,3546,69
150997,Mouse,3440,68
151000,Mouse,5089,72
151047,Mouse,3880,73
151090,Mouse,5767,81
151094,Mouse,4779,82
151139,Mouse,3700,81
151209,Elephant,186493,803
151231,Mouse,3173,73
151260,Mouse,4997,75
151302,Elephant,518483,1184
151589,Mouse,5200,65
151770,Mouse,4360,68
151865,Mouse,3207,68
151872,Mouse,4670,72
151875,Mouse,4211,74
151897,Mouse,5026,80
151948,Mouse,3470,80
152028,Mouse,5459,68
152098,Mouse,5430,71
152116,Mouse,4269,79
152118,Mouse,5531,82
152126,Mouse,5101,85
152150,Mouse,4623,83
152262,Elephant,352474,1071
152353,Mouse,4524,67
152401,Mouse,3603,64
152425,Elephant,490590,1258
152443,Mouse,4670,65
152555,Mouse,4391,66
152577,Mouse,4556,65
152672,Mouse,3240,66
152753,Mouse,4305,65
152835,Mouse,3793,64
152842,Mouse,3185,66
152868,Mouse,3133,64
152879,Mouse,4683,65
152952,Mouse,3930,64
153029,Mouse,4071,64
153036,Mouse,4795,65
153199,Mouse,3972,65
153251,Mouse,3971,64
153299,Mouse,3613,64
153397,Mouse,5492,67
153432,Mouse,5046,65
153523,Mouse,4383,66
