CompletionTime_us,FlowType,SizeBytes,FCT_us
124718,Mouse,5249,65
124742,Mouse,5674,66
124830,Mouse,3675,64
124931,Mouse,4470,65
124975,Mouse,3331,64
124999,Mouse,4474,65
125210,Mouse,3923,64
125218,Mouse,4173,64
125236,Mouse,5666,66
125491,Mouse,5354,69
125516,Mouse,5712,66
125573,Mouse,3036,66
125596,Mouse,4540,74
125615,Mouse,4325,76
125708,Mouse,3168,75
125709,Elephant,94852,461
125713,Mouse,4162,66
125768,Mouse,4089,67
125825,Elephant,133898,556
125849,Mouse,4092,72
125863,Mouse,4783,70
125945,Elephant,202730,690
125965,Mouse,5046,67
126169,Mouse,3497,64
126173,Mouse,4955,65
126207,Mouse,3037,66
126234,Mouse,5366,69
126369,Mouse,3041,67
126372,Mouse,4136,69
126441,Mouse,5434,70
126495,Mouse,4819,74
126602,Mouse,5236,74
126639,Mouse,3330,67
126691,Mouse,3427,67
126706,Elephant,567246,1218
126709,Mouse,3050,66
126778,Elephant,72143,379
126805,Mouse,4069,64
126812,Mouse,4793,65
126841,Mouse,3684,64
126869,Mouse,3506,64
126894,Mouse,5322,70
126924,Mouse,3576,69
127019,Mouse,3934,65
127256,Mouse,3593,64
127290,Mouse,5248,68
127336,Mouse,4104,65
127396,Mouse,4613,65
127433,Mouse,3442,64
127483,Mouse,3336,64
127494,Mouse,4250,68
127526,Mouse,3745,64
127539,Mouse,4738,69
127564,Mouse,3468,64
127646,Mouse,4352,65
127697,Mouse,3885,65
127700,Mouse,5682,68
127811,Mouse,5530,71
127848,Mouse,3957,70
127876,Elephant,406540,1096
127881,Mouse,5620,73
127896,Mouse,3472,69
127966,Mouse,5220,67
127980,Mouse,5665,70
127986,Mouse,4860,71
128019,Mouse,5542,70
128091,Mouse,5793,66
128255,Mouse,3143,69
128263,Mouse,5099,74
128349,Mouse,3441,67
128446,Elephant,274912,981
128461,Mouse,4993,70
128482,Mouse,5200,70
128518,Mouse,5254,75
128522,Elephant,348735,927
128551,Mouse,5625,67
128602,Mouse,3898,64
128617,Mouse,5548,69
128709,Mouse,4348,65
128730,Mouse,4736,65
128737,Mouse,3352,64
128746,Mouse,3122,66
128772,Mouse,5064,65
128786,Elephant,58648,325
128851,Mouse,5292,65
128863,Mouse,4864,65
128869,Mouse,4836,65
128884,Mouse,3502,64
128958,Mouse,4117,64
128972,Mouse,3951,64
128978,Mouse,4775,65
129021,Mouse,3192,65
129030,Mouse,4102,68
129077,Mouse,4281,70
129085,Mouse,3874,64
129262,Mouse,4961,65
129330,Elephant,135207,538
129358,Mouse,4457,65
129383,Mouse,4482,65
129420,Mouse,5288,65
129521,Mouse,3471,64
129560,Mouse,3858,64
129579,Mouse,3176,64
129588,Mouse,5824,66
129667,Mouse,4656,65
129680,Mouse,3105,64
129833,Mouse,4873,65
129926,Mouse,4598,69
130024,Mouse,5680,66
130115,Mouse,4821,65
130228,Mouse,5815,72
130255,Mouse,5822,78
130313,Mouse,5438,69
130419,Mouse,3484,77
130440,Mouse,3075,78
130560,Mouse,4159,95
130803,Mouse,4724,122
130836,Mouse,4107,125
130847,Mouse,5799,133
130870,Mouse,5682,138
130919,Mouse,4782,147
131022,Mouse,3669,149
131094,Mouse,3685,155
131139,Elephant,140943,858
131221,Mouse,3161,149
131259,Mouse,4245,154
131271,Mouse,3836,159
131295,Mouse,4232,156
131317,Mouse,3327,159
131324,Mouse,3004,152
131437,Mouse,4431,172
131441,Elephant,129829,995
131512,Mouse,4561,107
131520,Mouse,3776,108
131580,Elephant,518721,1849
131672,Mouse,3374,69
131692,Mouse,4776,73
131740,Elephant,470369,1624
131810,Mouse,4035,69
131848,Mouse,3917,67
131864,Mouse,4060,72
131889,Mouse,5162,83
131893,Mouse,4664,79
131898,Mouse,3210,73
132021,Mouse,4114,78
132314,Mouse,5735,92
132383,Elephant,294646,963
132429,Mouse,4458,87
132468,Mouse,4697,96
132508,Mouse,5208,98
132540,Mouse,3273,105
132637,Mouse,4145,100
132726,Elephant,479494,1498
132740,Mouse,3297,106
132782,Mouse,4470,92
132891,Mouse,5770,93
132894,Mouse,4212,89
132970,Mouse,5823,106
133040,Elephant,108695,650
133097,Mouse,3599,100
133098,Mouse,3853,103
133115,Mouse,5762,110
133153,Mouse,4649,118
133165,Mouse,5832,123
133235,Mouse,5410,113
133307,Mouse,4510,111
133330,Elephant,579921,1570
133350,Mouse,3456,100
133455,Elephant,251599,1140
133489,Mouse,3055,92
133646,Mouse,3997,86
133885,Mouse,3584,131
133991,Elephant,354322,1337
134003,Mouse,4675,144
134101,Mouse,3093,119
134140,Mouse,5097,127
134209,Elephant,62431,577
134255,Mouse,4774,143
134311,Elephant,206254,1044
134342,Mouse,4498,135
134364,Mouse,4313,146
134371,Mouse,4614,144
134427,Mouse,4213,131
134451,Mouse,4525,141
134489,Mouse,5288,141
134544,Elephant,288366,1291
134568,Mouse,5155,149
134660,Mouse,3789,133
134702,Mouse,4242,125
134715,Mouse,5592,126
134745,Mouse,3951,132
134773,Mouse,4541,137
134860,Elephant,343813,1657
134865,Mouse,3514,136
134879,Mouse,3491,121
134935,Mouse,4373,109
134936,Mouse,5506,117
134966,Mouse,3543,114
135013,Mouse,4039,119
135042,Mouse,3665,124
135054,Mouse,5652,129
135129,Elephant,483904,1770
135213,Mouse,5053,82
135251,Mouse,5685,82
135367,Mouse,3783,98
135393,Mouse,3599,99
135457,Mouse,5414,107
135507,Mouse,5819,125
135537,Mouse,4732,129
135543,Mouse,3677,131
135604,Mouse,5558,141
135628,Mouse,3514,145
135642,Mouse,5563,145
135755,Mouse,4112,142
135787,Mouse,4008,134
135797,Mouse,4933,140
135837,Mouse,5714,147
135862,Mouse,3745,147
135897,Mouse,5800,161
135906,Elephant,410579,1695
136019,Mouse,5512,134
136021,Elephant,415384,1685
136055,Mouse,5545,83
136063,Mouse,5785,87
136113,Elephant,457894,1725
136118,Mouse,5221,66
136211,Mouse,4488,65
136220,Mouse,4113,64
136309,Mouse,3227,64
136394,Mouse,3001,63
136499,Mouse,4517,69
136500,Elephant,140819,950
136614,Mouse,3540,64
136677,Mouse,4217,64
136728,Mouse,4822,65
136739,Mouse,3039,64
136764,Mouse,3100,64
136836,Mouse,3742,64
136840,Mouse,3097,64
136861,Mouse,5187,65
136923,Mouse,4483,65
136934,Mouse,5493,66
136942,Mouse,5821,66
137023,Mouse,3367,64
137030,Mouse,3291,64
137076,Mouse,3044,64
137087,Mouse,3017,64
137176,Mouse,5267,65
137183,Mouse,4070,64
137224,Mouse,3803,65
137273,Mouse,3366,64
137276,Mouse,3420,64
137442,Mouse,4463,69
137596,Mouse,4935,65
137639,Mouse,5229,67
137665,Mouse,5610,66
137809,Mouse,3704,64
137871,Mouse,4990,69
137926,Mouse,3675,74
137959,Mouse,3233,67
138034,Mouse,4599,71
138049,Mouse,4582,71
138126,Mouse,4215,73
138138,Mouse,5344,76
138213,Mouse,3996,82
138220,Mouse,4019,85
138234,Mouse,3648,89
138291,Elephant,321517,926
138316,Mouse,4054,80
138360,Mouse,5718,73
138361,Mouse,5692,74
138374,Mouse,4223,76
138433,Mouse,4585,83
138446,Mouse,5157,86
138472,Mouse,5132,86
138511,Elephant,367163,1357
138512,Mouse,4109,88
138536,Mouse,4688,83
138540,Mouse,3915,79
138561,Mouse,4192,76
138711,Mouse,3603,70
138764,Mouse,5789,81
138827,Elephant,348531,1015
138840,Mouse,4986,88
138867,Mouse,5717,83
138887,Elephant,143404,621
138983,Mouse,3012,67
139012,Mouse,3197,64
139015,Mouse,4028,64
139139,Mouse,5705,66
139162,Mouse,4357,69
139277,Mouse,3693,71
139281,Mouse,5791,74
