CompletionTime_us,FlowSize_B,FCT_us
160271,1676,191
160330,5666,212
160335,248137,17489
160414,63903,2518
160438,60908,2615
160505,38215,126
160509,68866,3005
160528,2277,207
160582,3213,190
160676,7694,204
160699,357,161
160729,36681,444
160792,926190,1045
160794,3879,88
160914,63231,164
160918,192974,11745
160987,2761807,2780
161172,6325,224
161229,513934,25854
161236,121165,4763
161417,23359,111
161441,111203,3676
161446,24086,379
161507,5691,66
161794,54602,2058
161855,1803054,58733
161877,190465,12310
161922,2566,186
161980,70344,1679
162001,11539,71
162105,289,184
162111,29331,492
162121,167577,11810
162125,42141,967
162127,23329,329
162151,4219,226
162186,165369,11091
162187,12346,230
162190,1836,200
162204,3681,210
162222,880228,46736
162273,17316,316
162286,17981,380
162287,77564,1678
162370,1200664,1373
162430,480,202
162432,36393,622
162515,12590,220
162531,32547,498
162550,28720,505
162575,59030,1258
162664,136721,7888
162686,5652,178
162731,70927,3761
162738,78461,4190
162748,20965,370
162827,44725,1431
162884,1042448,1207
162908,2037,206
162909,8894,209
162909,1944504,59361
162916,36518,644
162996,6988,241
163114,49708,1150
163137,62929,598
163219,15130,367
163228,116338,5488
163256,73365,3809
163367,13870,210
163438,140189,235
163498,31201,518
163505,47906,190
163525,25885,402
163565,5954,68
163572,26569,497
163635,2115,248
163639,167923,10749
163645,45411,554
163698,61506,2493
163714,10829,228
163748,61248,1974
163891,978,172
163892,27887,117
164091,129388,6304
164147,19054,363
164153,5337,227
164155,5744,214
164176,114017,5625
164185,11055,74
164198,96379,3240
164215,22871,338
164300,6032,216
164362,25278,325
164364,79588,883
164437,139214,6391
164527,4287,197
164609,21217,349
164627,27610,495
164662,21477,366
164770,5539,158
164808,1843859,64808
164840,62520,163
164905,24964,366
164925,207,188
165113,55020,750
165518,2096638,6322
165611,65551,1553
165612,27251,499
165629,3421028,3290
165649,6910,200
165746,1543520,52811
165767,26042,389
165807,20348,318
165844,336,188
165900,27432,493
165901,358235,15906
165962,1535856,63211
165974,22493,359
166008,675937,42575
166056,45264,636
166069,115435,3951
166230,57927,977
166302,1182384,35788
166349,3696,216
166356,23049,425
166370,1151536,46689
166380,2830178,2862
166436,74658,3499
166609,2918,209
166617,19952,363
166620,63839,168
166625,66520,1175
166637,628559,33353
166639,61246,1571
166642,24287,360
166643,9809,236
166645,16799,312
166654,5980,237
166850,37213,125
166921,4850,190
167012,728038,42680
167058,11133,231
167141,1822407,55189
167187,61233,2468
167323,34641,621
167367,5020,215
167462,298363,22930
167519,66317,166
167560,6991,194
167562,37499,833
167565,45423,1436
167577,5316,224
167596,44017,194
167860,5321,213
167897,2817,202
167908,338517,19023
167933,13621029,14274
167940,57939,2272
167944,8151,68
168053,55938,1871
168141,72275,1508
168240,11930,224
168285,35480,788
168337,28464,461
168374,35843,605
168393,43331,129
168524,2250,178
168739,69090,2824
168878,41690,991
168979,72657,709
169115,25491,433
169127,25334,392
169151,1268,226
169196,53506,2025
169296,42596,436
169298,791650,44003
169400,9095,243
169412,5123,241
169435,36045,737
169513,1253,229
169557,39239,375
169559,47722,1241
169605,72591,171
169628,71891,3302
169649,11108,221
169680,34110,689
169707,6338,164
169824,55833,2977
170042,24149,118
170068,8871895,8411
170143,754149,43466
170145,78482,4468
170222,8795291,8537
170222,28456,524
170339,5038804,4644
170385,192699,9706
170450,20343,328
170474,52065,1819
170493,7401,218
170499,1176139,1510
170534,36967,736
170539,213938,11522
170599,35434,362
170600,61605,3333
170622,18360,317
170667,62969,3126
170719,381285,19500
170734,5219,189
170750,27339,474
170760,39830,125
170773,5546,172
170857,7235,180
171039,21115,109
171046,11272,205
171317,946245,59819
171367,29732,506
171377,238567,13621
171497,770344,44767
171507,18658,351
171539,368649,14310
171587,25722,364
171606,816333,984
171654,33343,119
171686,32127,576
171783,21378,404
171822,60965,732
171897,2500,188
171925,27941,525
171932,53862,1202
172063,10829,208
172066,68573,3356
172067,73026,171
172075,15101,357
172084,42267,1098
172117,61260,2599
172121,7964,225
172293,1297341,1421
172320,15533,379
172457,25973,439
172461,341876,420
172494,36191,586
172575,21979,429
172683,57212,1333
172743,74451,4266
172927,870,162
173191,453813,33441
173320,27884,448
173356,21749,355
173398,21115,109
173444,27187,140
173459,28646,117
173541,1366016,70157
173660,33906,481
173718,9688,245
173762,6936,215
173805,3545435,3259
173817,46988,929
173894,79301,5181
173958,564893,32840
174019,1426442,71883
174037,2761,69
174116,30936,527
174143,138654,4834
174144,41218,991
174236,53195,564
174255,9306,233
174371,49179,647
