CompletionTime_us,FlowSize_B,FCT_us
144221,1471171,31092
144297,42041,1618
144321,7454,373
144343,23841,664
144529,8692,296
144532,16093,594
144569,199695,6894
144655,5358,414
144729,60854,1326
144780,46375,754
144824,141114,230
144878,18350,696
144885,358200,10387
145014,49240,151
145109,76172,3312
145127,34260,876
145153,37909,1092
145154,13503,72
145219,1543520,32284
145260,374,358
145404,8089,457
145415,3842,377
145445,9269,375
145462,544038,17036
145465,1335515,36655
145488,16066,744
145575,321577,15026
145584,28036,1028
145601,25122,632
145649,41831,2146
145695,12460,503
145728,4905,443
145766,2959,315
145770,58832,2914
145859,5014,374
145889,48343,842
145920,140980,7849
146017,1281900,38990
146023,28413,929
146078,69912,3176
146109,2725257,6450
146191,251755,12068
146200,1101145,2812
146247,611242,25754
146271,180688,10178
146336,42541,1812
146422,64734,3471
146443,76805,3501
146447,1019235,36901
146455,6762,373
146473,63175,2178
146551,6777,273
146560,61167,1824
146571,1000305,1134
146597,53271,2494
146622,55049,158
146627,10694,354
146791,6679,359
146812,5976,413
146874,68944,1393
146999,21593,565
147000,2679223,3741
147115,25535,776
147116,8124243,9428
147442,21842,110
147485,959132,33981
147579,17577,634
147778,9695,433
147806,2339,311
147808,4088770,3857
147809,9255,388
147920,63674,3590
147957,375697,16358
148057,837102,36350
148128,77027,4452
148529,395343,13041
148558,5936,357
148597,1943940,42693
148658,49157,1320
148674,21436,703
148715,2759495,2622
148850,47507,1846
148939,42052,128
149007,38432,602
149039,5837,298
149090,5190,542
149194,5768,421
149197,11582,272
149213,60976,160
149411,334,374
149421,78096,5868
149441,26031,610
149468,1032,474
149472,67917,3797
149522,29784,826
149617,31645,849
149698,24686,531
149750,6172,451
149771,904382,33704
149790,25598,1032
149844,880228,34358
149852,51232,3573
149942,1077,373
149963,23631,687
150029,51465,2567
150066,67580,170
150083,55659,2976
150227,21620,673
150252,31314,767
150373,31768,123
150375,29311,1064
150381,29475,1043
150392,25186,733
150422,54420,2619
150444,11160,480
150477,95406,3304
150505,31741,118
150533,1803054,47412
150537,74285,2171
150561,61403,161
150623,4677,403
150657,77120,4639
150741,68244,2499
150763,7887,434
150804,613453,28920
150838,97441,193
150842,169003,7547
150876,203817,9846
150876,21415,646
150909,22157,575
151009,22159,633
151034,831,458
151208,1162468,42846
151283,98605,5151
151317,30883,1359
151333,2948,405
151363,54993,989
151389,22593,566
151408,76160,2044
151515,53284,4126
151521,7162,405
151617,48800,2153
151647,7231,415
151743,5418091,5088
151744,5219,448
151886,70831,3110
151905,534345,25713
151931,356530,17060
151958,3813,495
152269,23847,642
152331,3426,364
152360,4421,449
152519,55976,1631
152561,171907,11129
152578,1426442,50442
152582,23913,111
152596,163,340
152632,30474,883
152646,38504,1624
152657,12908,341
152662,73222,3024
152746,1151536,33065
152845,1316234,1455
152883,67281,4135
152906,946245,41409
152931,22260,699
152991,1182384,22477
153080,644908,16023
153099,35664,1035
153132,51899,156
153152,6636,401
153157,28535,1050
153199,40845,1587
153200,41983,1159
153249,26665,696
153285,120105,7378
153356,36988,749
153377,14724,103
153378,23174,762
153382,13372,430
153418,9929,480
153466,3767185,3676
153490,94909,193
153589,19753,613
153619,29786,665
153636,50453,1467
153694,165224,257
153704,24814,648
153722,52708,1637
153736,33612,125
153745,37247,1370
153776,41063,1094
153851,379274,14571
153895,1132317,1284
154135,122610,5777
154143,9662,69
