CompletionTime_us,FlowType,SizeBytes,FCT_us
125401,Mouse,3714,64
125477,Elephant,85605,410
125485,Mouse,5563,66
125632,Mouse,4519,71
125824,Mouse,5547,66
125847,Mouse,4703,71
125853,Mouse,3422,72
126089,Mouse,5802,74
126107,Mouse,3465,68
126142,Mouse,4557,72
126201,Mouse,4923,70
126235,Mouse,3070,69
126267,Mouse,4305,74
126276,Mouse,4805,77
126423,Mouse,5154,82
126459,Elephant,502788,1163
126467,Mouse,3363,76
126542,Mouse,3243,64
126561,Mouse,5792,69
126622,Mouse,5607,74
126636,Mouse,3419,77
126645,Mouse,3379,72
126674,Elephant,439208,1168
126724,Mouse,3648,64
126735,Mouse,5747,66
126854,Mouse,4575,65
126860,Mouse,5060,65
126899,Mouse,5805,67
126907,Mouse,5726,66
127110,Mouse,4671,69
127119,Elephant,187987,654
127131,Mouse,5748,82
127133,Mouse,5775,82
127231,Mouse,4169,64
127350,Mouse,4745,65
127388,Mouse,5741,66
127426,Mouse,3987,67
127462,Elephant,101814,458
127497,Mouse,3962,64
127528,Mouse,3813,64
127587,Mouse,4140,66
127590,Mouse,5323,67
127635,Mouse,4149,65
127651,Mouse,4579,66
127661,Mouse,4387,71
127675,Mouse,3595,64
127765,Mouse,5088,65
127917,Mouse,5109,70
127957,Mouse,3034,66
128057,Mouse,5280,70
128085,Mouse,3137,66
128139,Mouse,5273,68
128207,Mouse,4018,64
128299,Mouse,3071,68
128327,Mouse,3191,67
128507,Mouse,5394,70
128576,Mouse,4392,78
128621,Mouse,5349,80
128677,Mouse,3235,85
128755,Mouse,3806,73
128829,Mouse,3937,64
128835,Elephant,588394,1333
128874,Mouse,3104,65
128877,Mouse,3809,67
128879,Mouse,3619,67
129023,Elephant,400395,1102
129068,Mouse,3945,64
129151,Mouse,3304,64
129188,Mouse,5395,65
129195,Mouse,4420,66
129264,Mouse,5354,65
129278,Mouse,4169,64
129289,Mouse,4491,69
129309,Mouse,3092,64
129393,Mouse,4931,68
129395,Mouse,4835,69
129513,Mouse,3103,64
129521,Mouse,4748,68
129569,Mouse,4848,67
129574,Mouse,4820,69
129584,Mouse,4251,70
129591,Mouse,3961,74
129606,Mouse,3520,64
129700,Mouse,3143,64
129735,Mouse,4927,69
129759,Mouse,4735,70
129815,Mouse,5525,76
129860,Elephant,197573,685
129887,Mouse,3532,64
129900,Mouse,3931,65
129946,Mouse,3216,64
129983,Mouse,4991,69
130076,Mouse,3884,67
130086,Mouse,5672,67
130110,Mouse,3209,69
130171,Mouse,4981,65
130208,Mouse,3346,66
130384,Elephant,477747,1091
130669,Mouse,4148,67
130677,Mouse,5638,71
130705,Mouse,3710,66
130713,Mouse,4528,69
130722,Elephant,236092,737
130909,Mouse,4513,65
130924,Mouse,3564,64
131071,Mouse,5428,75
131097,Mouse,5204,68
131097,Mouse,3513,67
131130,Mouse,4956,72
131248,Mouse,3610,68
131287,Mouse,4908,65
131324,Mouse,5122,71
131378,Mouse,3384,73
131404,Elephant,191509,654
131480,Mouse,3179,75
131482,Mouse,4166,74
131586,Elephant,142416,565
131668,Mouse,5102,68
131700,Mouse,5541,72
131750,Mouse,4696,73
131774,Mouse,3294,67
131831,Mouse,4784,76
131853,Mouse,3765,73
131874,Elephant,70731,382
131897,Mouse,3172,64
131899,Elephant,408923,1034
131920,Mouse,4914,65
131986,Mouse,3954,64
132038,Mouse,3290,64
132043,Mouse,3517,64
132058,Mouse,5274,65
132165,Mouse,3428,64
132175,Mouse,3680,64
132459,Mouse,3002,67
132467,Mouse,4332,66
132484,Mouse,4198,68
132644,Mouse,3558,66
132671,Mouse,4026,68
132682,Mouse,5046,73
132697,Mouse,3755,67
132900,Mouse,5745,70
132929,Mouse,4236,69
133061,Mouse,5674,70
133097,Mouse,3375,72
133130,Mouse,5840,75
133142,Mouse,5216,79
133250,Mouse,5738,77
133268,Mouse,3621,79
133358,Elephant,394341,1026
133411,Elephant,545955,1412
133419,Mouse,5740,67
133423,Mouse,4430,66
133444,Mouse,5643,68
133469,Mouse,5354,66
133510,Mouse,5804,66
133515,Mouse,4950,65
133534,Elephant,40958,271
133535,Mouse,3677,67
133649,Mouse,4677,65
133869,Mouse,3125,64
133878,Mouse,3422,64
134016,Elephant,200346,671
134021,Mouse,4699,65
134095,Mouse,4841,65
134309,Mouse,4367,67
134318,Mouse,5722,66
134335,Mouse,3193,67
134350,Mouse,3106,70
134420,Mouse,4348,69
134504,Mouse,5402,70
134580,Mouse,5111,67
134638,Mouse,4100,67
134830,Mouse,4801,75
134964,Mouse,4134,75
135078,Mouse,4545,87
135124,Mouse,4104,93
135129,Elephant,580130,1257
135213,Mouse,5258,65
135222,Mouse,4540,65
135268,Elephant,495237,1390
135327,Mouse,4501,65
135334,Mouse,5336,65
135448,Mouse,3538,64
135488,Mouse,3585,66
135554,Mouse,4335,65
135560,Mouse,4800,65
135588,Mouse,3791,64
135621,Mouse,4328,69
135668,Mouse,5561,69
135749,Mouse,3872,67
135766,Mouse,5218,65
135803,Mouse,4584,65
135883,Elephant,187371,637
135887,Mouse,3360,64
135959,Mouse,4805,67
135969,Mouse,4750,65
136069,Mouse,3939,64
136273,Mouse,5161,73
136289,Mouse,5409,67
136381,Mouse,4211,67
136406,Mouse,4820,74
136420,Mouse,4796,69
136472,Mouse,5142,74
136493,Mouse,4790,72
136581,Mouse,3571,69
136631,Mouse,3689,73
136646,Mouse,4690,75
136785,Elephant,413365,1031
136883,Elephant,374416,997
136980,Mouse,5454,66
137007,Mouse,5773,66
137022,Mouse,4809,66
137041,Mouse,5839,68
137050,Mouse,5346,66
137058,Mouse,3098,64
137072,Mouse,5052,65
137085,Mouse,4302,70
137240,Mouse,5514,69
137264,Mouse,3676,64
137293,Mouse,3169,72
137341,Mouse,5825,72
137347,Mouse,3048,72
137357,Mouse,4542,67
137472,Elephant,113518,502
137477,Mouse,5304,65
137596,Mouse,5439,74
137819,Mouse,3516,70
137824,Mouse,3204,72
137857,Mouse,4410,74
137859,Mouse,4264,74
137873,Mouse,5131,81
137899,Mouse,5294,82
137996,Mouse,5813,71
138031,Mouse,3946,66
138096,Mouse,4732,68
138141,Mouse,5397,69
138163,Mouse,5771,73
138211,Mouse,3004,73
138237,Elephant,460675,1147
138248,Mouse,5012,68
138368,Mouse,4412,70
138391,Elephant,413474,1220
138451,Mouse,5096,65
138472,Mouse,3222,64
138479,Mouse,5076,65
138489,Mouse,4986,65
138588,Mouse,5152,65
138704,Mouse,5372,65
138752,Mouse,3625,64
138796,Mouse,5294,66
138803,Mouse,5760,66
138863,Mouse,5473,66
138904,Mouse,3446,65
138994,Mouse,3679,64
139104,Mouse,3432,64
139159,Mouse,3393,67
139196,Elephant,113621,492
139247,Mouse,3221,64
139251,Mouse,4151,64
139275,Mouse,3840,64
139278,Mouse,3787,64
139464,Mouse,4560,65
139470,Mouse,4300,65
139491,Mouse,3760,64
139545,Mouse,3663,64
139559,Mouse,3040,64
139607,Mouse,3871,65
139610,Mouse,4566,67
139653,Mouse,4368,67
139660,Mouse,3031,64
139744,Mouse,5145,65
139788,Mouse,3322,69
139799,Mouse,4629,65
139833,Mouse,4605,65
139893,Mouse,5422,65
139909,Mouse,4694,65
139980,Mouse,3525,64
140049,Mouse,3551,64
140057,Mouse,3041,64
140132,Mouse,3604,64
140146,Mouse,5189,65
140158,Mouse,4182,64
140300,Mouse,3661,64
140377,Mouse,5615,67
140380,Mouse,4809,67
140493,Mouse,4351,65
140519,Mouse,3725,64
140522,Mouse,3077,65
140599,Mouse,4302,65
140673,Mouse,4048,64
140740,Mouse,3399,64
140771,Mouse,5145,70
140794,Mouse,3217,64
140859,Mouse,3325,64
140879,Mouse,3631,64
140903,Mouse,5061,70
140910,Mouse,4114,70
140913,Mouse,3279,69
141033,Mouse,5756,69
141135,Mouse,3690,64
141328,Elephant,314020,886
141365,Mouse,4843,65
141424,Mouse,4418,66
141570,Mouse,3586,71
141581,Mouse,3937,64
141599,Mouse,4659,67
141715,Mouse,3596,70
141719,Mouse,5386,69
141967,Mouse,5370,71
142033,Mouse,5739,76
142042,Mouse,4322,75
142093,Mouse,5375,83
142106,Elephant,327995,917
142126,Mouse,3011,76
142143,Mouse,4062,73
142317,Mouse,3927,66
142371,Mouse,3363,68
142383,Mouse,3274,72
142412,Mouse,5742,71
142453,Mouse,3500,70
142472,Elephant,494563,1148
142535,Mouse,5812,66
142673,Mouse,3532,67
142674,Mouse,5722,69
142698,Elephant,168846,608
142742,Mouse,5425,70
142782,Mouse,4627,65
142929,Mouse,3894,67
143017,Mouse,4480,68
143079,Mouse,4150,64
143101,Mouse,3848,68
143159,Mouse,5716,66
143204,Mouse,5216,66
143209,Mouse,5425,65
143282,Mouse,4299,65
143328,Mouse,5039,67
143387,Mouse,3941,64
143460,Mouse,4201,65
143491,Mouse,5398,70
143502,Mouse,4965,73
143558,Mouse,5119,72
143648,Mouse,4802,69
143651,Mouse,4034,68
143678,Mouse,4262,69
143706,Elephant,362065,932
143726,Mouse,3835,69
143835,Mouse,5074,66
143842,Mouse,4314,68
143885,Mouse,5646,69
143968,Mouse,3597,65
144009,Mouse,5341,69
144018,Mouse,4050,67
144041,Mouse,5059,67
144061,Mouse,3716,69
144081,Mouse,3991,67
144098,Mouse,5198,70
144128,Elephant,145780,555
144130,Mouse,4241,69
144140,Mouse,3728,70
144195,Mouse,3815,67
144208,Mouse,5262,65
144227,Mouse,5729,68
144320,Mouse,5366,68
144343,Mouse,3454,64
144441,Mouse,4000,69
144452,Mouse,4014,67
144544,Mouse,5463,68
144559,Mouse,5010,74
144579,Mouse,5404,68
144607,Mouse,3461,69
144613,Mouse,5073,72
144717,Mouse,5799,71
144748,Mouse,5785,68
144778,Mouse,3146,73
144781,Mouse,3418,72
144786,Elephant,558835,1194
144809,Mouse,3907,65
144832,Mouse,3329,72
144833,Mouse,5779,74
144861,Mouse,3175,64
144944,Mouse,4232,64
144964,Mouse,5619,66
144973,Mouse,4191,64
145177,Mouse,5370,65
145207,Mouse,3906,64
145367,Mouse,4948,75
145377,Mouse,4740,78
145419,Mouse,5190,79
145523,Mouse,4741,69
145582,Mouse,3530,66
145647,Mouse,3225,68
145801,Elephant,299384,853
145918,Mouse,5088,69
145942,Mouse,3174,70
145949,Mouse,4837,71
145951,Mouse,5229,72
145988,Mouse,3910,81
146115,Elephant,102984,483
146122,Mouse,4243,69
146159,Elephant,291368,920
146306,Mouse,4706,65
146395,Mouse,4894,65
146446,Mouse,5007,65
146460,Mouse,4500,66
146467,Mouse,5601,66
146477,Mouse,4041,64
146631,Mouse,5251,70
146651,Mouse,4604,65
146681,Mouse,3175,69
146681,Mouse,3654,69
146692,Mouse,4987,65
146777,Mouse,4164,64
146934,Mouse,3121,66
146958,Mouse,4792,65
146989,Mouse,3778,67
147210,Mouse,5736,72
147251,Mouse,4411,69
147447,Mouse,3194,64
147488,Mouse,4857,75
147526,Mouse,3724,75
147534,Mouse,4626,77
147566,Mouse,3338,78
147679,Mouse,3830,76
147693,Mouse,4470,82
147714,Elephant,584321,1324
147758,Mouse,3774,87
147764,Mouse,3287,66
147848,Mouse,3308,69
147899,Mouse,4956,72
147996,Mouse,3257,71
148048,Mouse,4219,79
148070,Elephant,318329,910
148116,Mouse,3254,74
148128,Elephant,184860,690
148144,Mouse,5661,70
148174,Mouse,4787,68
148388,Mouse,5201,74
148622,Mouse,4945,68
148639,Elephant,285986,887
148793,Mouse,4401,70
148848,Mouse,4757,70
148955,Elephant,243663,778
149082,Mouse,4127,67
149091,Mouse,5336,65
149163,Mouse,3281,67
149248,Elephant,334917,952
149274,Mouse,5106,67
149349,Mouse,5561,66
149401,Mouse,4195,64
149406,Mouse,3864,64
149414,Mouse,4802,65
149466,Mouse,5711,66
149511,Mouse,3082,64
149519,Mouse,3856,66
149554,Mouse,3379,65
149618,Mouse,5053,70
149873,Elephant,85266,411
150110,Mouse,4175,64
150166,Mouse,3827,68
150235,Mouse,5770,76
150239,Mouse,5694,78
150347,Elephant,338227,897
150358,Mouse,3431,70
150433,Mouse,4138,65
150500,Mouse,3919,68
150526,Mouse,5219,73
150539,Mouse,4348,69
150615,Mouse,4827,74
150857,Mouse,3476,95
150890,Mouse,4442,107
150934,Mouse,5374,109
150976,Elephant,339849,999
151023,Mouse,4580,93
151112,Mouse,3641,65
151183,Mouse,5298,74
151239,Elephant,179649,831
151275,Mouse,4014,67
151376,Mouse,3956,69
151419,Elephant,450107,1237
151451,Mouse,4744,74
151481,Mouse,3383,68
151492,Mouse,3320,69
151587,Mouse,4127,67
151655,Mouse,3895,68
151695,Mouse,5336,73
151705,Mouse,3477,72
151713,Mouse,3386,75
151755,Mouse,3528,82
151798,Elephant,142337,574
151820,Mouse,5181,80
151880,Mouse,5766,67
151928,Mouse,4372,71
151934,Mouse,3991,67
151945,Mouse,4404,73
151981,Elephant,458517,1374
151990,Mouse,4713,73
152132,Elephant,126076,567
152199,Mouse,5095,65
152224,Mouse,4399,65
152391,Mouse,5806,69
152548,Mouse,3724,64
152554,Mouse,5414,67
152640,Mouse,5749,66
152654,Mouse,3172,68
152704,Mouse,3784,71
152718,Elephant,123806,506
152725,Mouse,4933,65
152782,Mouse,4176,67
152835,Mouse,4184,66
152865,Mouse,3104,67
152904,Mouse,5222,68
152912,Mouse,4152,70
152917,Mouse,3260,71
152934,Mouse,3608,66
152975,Mouse,4749,71
153065,Mouse,5426,67
153072,Mouse,3184,64
153087,Mouse,3885,67
153125,Mouse,3974,67
153178,Mouse,5652,73
153188,Mouse,4935,75
153259,Mouse,3686,67
153272,Mouse,4336,72
153273,Mouse,4525,73
153326,Elephant,554196,1179
153331,Mouse,5488,71
153382,Mouse,3815,67
153466,Mouse,3268,67
153487,Mouse,4633,65
153648,Elephant,107605,466
153748,Mouse,3337,64
153776,Mouse,4874,65
153974,Mouse,3541,64
154116,Mouse,3891,64
154196,Mouse,4708,65
154235,Mouse,4462,65
154297,Mouse,3612,64
154401,Mouse,5689,66
154428,Mouse,5559,66
154524,Mouse,5561,66
154533,Mouse,3014,64
154612,Mouse,4151,64
154749,Mouse,3230,64
155024,Mouse,4741,65
155103,Mouse,4722,65
155115,Mouse,4211,64
155138,Mouse,4382,65
155151,Mouse,5603,67
155154,Mouse,4614,67
155265,Mouse,3910,64
155348,Mouse,4492,69
155404,Mouse,3133,73
155475,Mouse,3781,66
155542,Mouse,3743,70
155549,Mouse,3322,69
155693,Mouse,5501,80
155701,Mouse,5194,85
155704,Mouse,4715,87
155725,Mouse,3740,89
155776,Mouse,4126,103
155970,Mouse,5505,99
156009,Mouse,4175,109
156031,Elephant,550450,1277
156053,Mouse,4209,107
156075,Mouse,4232,113
156174,Mouse,3807,73
156270,Mouse,3242,95
156358,Mouse,3620,102
156398,Mouse,4668,110
156427,Mouse,4445,117
156460,Mouse,4773,124
156488,Mouse,4991,126
156516,Mouse,4975,140
156533,Mouse,3258,140
156565,Mouse,3619,135
156664,Elephant,232135,1103
156707,Elephant,427223,1471
156710,Mouse,3686,97
156727,Mouse,3690,91
156754,Mouse,3085,89
156826,Mouse,4888,73
156964,Elephant,178284,912
157019,Mouse,4789,86
157117,Mouse,5269,86
157139,Mouse,5706,86
157198,Mouse,5046,96
157211,Mouse,3452,102
157279,Mouse,4359,103
157286,Mouse,3132,102
157325,Mouse,4823,115
157332,Mouse,5392,118
157419,Mouse,3511,115
157501,Mouse,3568,110
157564,Mouse,4582,115
157714,Elephant,403566,1547
157734,Mouse,5350,92
157829,Mouse,5456,75
157862,Mouse,4759,80
157882,Elephant,599861,2276
